|state         |county_name     |
|:-------------|:---------------|
|ARIZONA       |MARICOPA        |
|ARIZONA       |PIMA            |
|ARIZONA       |SANTA CRUZ      |
|ARIZONA       |YUMA            |
|CALIFORNIA    |ALAMEDA         |
|CALIFORNIA    |AMADOR          |
|CALIFORNIA    |CONTRA COSTA    |
|CALIFORNIA    |DEL NORTE       |
|CALIFORNIA    |EL DORADO       |
|CALIFORNIA    |FRESNO          |
|CALIFORNIA    |GLENN           |
|CALIFORNIA    |HUMBOLDT        |
|CALIFORNIA    |KERN            |
|CALIFORNIA    |KINGS           |
|CALIFORNIA    |LOS ANGELES     |
|CALIFORNIA    |MARIN           |
|CALIFORNIA    |MENDOCINO       |
|CALIFORNIA    |MERCED          |
|CALIFORNIA    |NEVADA          |
|CALIFORNIA    |PLACER          |
|CALIFORNIA    |RIVERSIDE       |
|CALIFORNIA    |SAN BENITO      |
|CALIFORNIA    |SAN BERNARDINO  |
|CALIFORNIA    |SAN DIEGO       |
|CALIFORNIA    |SAN FRANCISCO   |
|CALIFORNIA    |SAN LUIS OBISPO |
|CALIFORNIA    |SAN MATEO       |
|CALIFORNIA    |SANTA BARBARA   |
|CALIFORNIA    |SANTA CRUZ      |
|CALIFORNIA    |SONOMA          |
|CALIFORNIA    |SUTTER          |
|CALIFORNIA    |TEHAMA          |
|CALIFORNIA    |TUOLUMNE        |
|CALIFORNIA    |VENTURA         |
|CALIFORNIA    |YUBA            |
|COLORADO      |ALAMOSA         |
|COLORADO      |ARCHULETA       |
|COLORADO      |BENT            |
|COLORADO      |BROOMFIELD      |
|COLORADO      |CHAFFEE         |
|COLORADO      |CHEYENNE        |
|COLORADO      |CLEAR CREEK     |
|COLORADO      |CONEJOS         |
|COLORADO      |COSTILLA        |
|COLORADO      |CROWLEY         |
|COLORADO      |CUSTER          |
|COLORADO      |DELTA           |
|COLORADO      |DENVER          |
|COLORADO      |DOLORES         |
|COLORADO      |DOUGLAS         |
|COLORADO      |EAGLE           |
|COLORADO      |EL PASO         |
|COLORADO      |ELBERT          |
|COLORADO      |FREMONT         |
|COLORADO      |GARFIELD        |
|COLORADO      |GILPIN          |
|COLORADO      |GRAND           |
|COLORADO      |GUNNISON        |
|COLORADO      |HINSDALE        |
|COLORADO      |HUERFANO        |
|COLORADO      |KIOWA           |
|COLORADO      |KIT CARSON      |
|COLORADO      |LA PLATA        |
|COLORADO      |LAKE            |
|COLORADO      |LARIMER         |
|COLORADO      |LINCOLN         |
|COLORADO      |LOGAN           |
|COLORADO      |MESA            |
|COLORADO      |MINERAL         |
